TYPE,CATEGORY,QUESTION,help text,image video,is_required,correct_answers,"correct_feedback
",incorrect_feedback,correct answers texts(optional),choice 1,choice 2,choice 3,choice 4,choice 5,choice 6,choice 7,choice 8,choice 9,choice 10,choice 11,,,,
CHOICE,for since,Carol hasn't eaten meat ___ ages.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,Fred and Frida have been learning French___1998.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,Great Britain has had decimal currency ____________1971.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,Have you been to the dentist ___ last year?,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,He has been here ___ a long period.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,He has been learning French ___ eight months.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,He has put on weight ___ the end of last year.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,He hasn't done any work on the project ___ over a month.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,He hasn't had a vacation ___ last summer.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,He's been sitting at his desk ___ early this morning.,"()for since for + a period of time
()since + a starting point",,,2,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,He’s attended English classes ____________ two years.,"()for since for + a period of time
()since + a starting point",,,1,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,He’s known her ____________ school.,"()for since for + a period of time
()since + a starting point",,,2,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,Humans have been using plastics ___ a long time now.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,I have been here ___ three hours.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,I have been waiting for you ___ ten minutes.,"()for since for + a period of time
()since + a starting point",,,1,Well done!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
CHOICE,for since,I have been waiting___4 o'clock.,"()for since for + a period of time
()since + a starting point",,,2,Your studying has paid off!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,since,for,since,,,,,,,,,,,,,
CHOICE,for since,I have been well paid ___ I joined the consulting firm.,"()for since for + a period of time
()since + a starting point",,,1,Keep studying!,Maybe it's time to hire me as your tutor? https://calendly.com/englishhelpsyourcareer/english-with-a-californian-tech-guy,for,for,since,,,,,,,,,,,,,
